행정구역,계_0~4세,계_5~9세,계_10~14세,계_15~19세,계_20~24세,계_25~29세,계_30~34세,계_35~39세,계_40~44세,계_45~49세,계_50~54세,계_55~59세,계_60~64세,계_65~69세,계_70~74세,계_75~79세,계_80~84세,계_85~89세,계_90~94세,계_95~99세,계_100세 이상,남_총인구수,남_연령구간인구수,남_0~4세,남_5~9세,남_10~14세,남_15~19세,남_20~24세,남_25~29세,남_30~34세,남_35~39세,남_40~44세,남_45~49세,남_50~54세,남_55~59세,남_60~64세,남_65~69세,남_70~74세,남_75~79세,남_80~84세,남_85~89세,남_90~94세,남_95~99세,남_100세 이상,여_총인구수,여_연령구간인구수,여_0~4세,여_5~9세,여_10~14세,여_15~19세,여_20~24세,여_25~29세,여_30~34세,여_35~39세,여_40~44세,여_45~49세,여_50~54세,여_55~59세,여_60~64세,여_65~69세,여_70~74세,여_75~79세,여_80~84세,여_85~89세,여_90~94세,여_95~99세,여_100세 이상
강원도 평창군 (4276000000),694,"1,083","1,329","1,460","1,795","1,464","1,317","1,600","2,236","2,917","3,659","4,148","5,296","3,947","2,635","2,276","1,965",852,287,82,18,"21,075","21,075",340,544,690,768,"1,052",875,731,851,"1,201","1,609","2,004","2,192","2,783","2,054","1,272","1,021",782,232,52,18,4,"19,985","19,985",354,539,639,692,743,589,586,749,"1,035","1,308","1,655","1,956","2,513","1,893","1,363","1,255","1,183",620,235,64,14
강원도 정선군 (4277000000),687,996,"1,212","1,247","1,507","1,193","1,250","1,609","2,116","2,632","3,261","3,473","4,485","3,252","2,270","2,122","1,533",721,226,92,18,"18,700","18,700",341,529,618,650,844,725,692,892,"1,201","1,553","1,877","1,873","2,369","1,718","1,070",906,577,199,41,17,8,"17,202","17,202",346,467,594,597,663,468,558,717,915,"1,079","1,384","1,600","2,116","1,534","1,200","1,216",956,522,185,75,10
강원도 철원군 (4278000000),"1,562","1,672","1,761","1,912","2,605","2,865","2,317","2,284","2,590","2,965","3,330","3,660","4,059","2,969","2,271","2,310","1,688",641,288,67,16,"22,760","22,760",777,843,934,984,"1,627","1,906","1,330","1,223","1,332","1,627","1,788","1,943","2,094","1,386","1,055",983,645,199,69,11,4,"21,072","21,072",785,829,827,928,978,959,987,"1,061","1,258","1,338","1,542","1,717","1,965","1,583","1,216","1,327","1,043",442,219,56,12
강원도 화천군 (4279000000),853,892,833,891,"1,708","2,007","1,515","1,276","1,195","1,419","1,816","1,965","2,363","1,692","1,064","1,201","1,014",432,175,47,11,"13,246","13,246",431,461,407,459,"1,162","1,417",967,684,673,769,977,"1,067","1,277",921,481,529,368,138,38,15,5,"11,123","11,123",422,431,426,432,546,590,548,592,522,650,839,898,"1,086",771,583,672,646,294,137,32,6
강원도 양구군 (4280000000),804,880,840,"1,186","1,354","1,572","1,273","1,254","1,175","1,305","1,577","1,833","2,115","1,458",932,"1,038",815,384,138,34,14,"11,584","11,584",396,453,434,572,896,"1,041",746,658,617,710,859,964,"1,134",779,406,454,310,109,31,10,5,"10,397","10,397",408,427,406,614,458,531,527,596,558,595,718,869,981,679,526,584,505,275,107,24,9
강원도 인제군 (4281000000),"1,183","1,291","1,145","1,125","1,977","2,236","1,960","1,956","1,927","2,009","2,352","2,746","3,315","2,275","1,275","1,349","1,067",498,192,62,7,"17,341","17,341",592,660,599,600,"1,317","1,514","1,167","1,094","1,033","1,160","1,311","1,410","1,805","1,199",635,620,407,146,42,26,4,"14,606","14,606",591,631,546,525,660,722,793,862,894,849,"1,041","1,336","1,510","1,076",640,729,660,352,150,36,3
강원도 고성군 (4282000000),531,770,729,885,"1,315","1,328","1,119","1,182","1,303","1,775","2,227","2,550","3,147","2,396","1,676","1,758","1,310",619,258,70,12,"13,859","13,859",258,406,399,473,822,858,662,651,710,972,"1,247","1,341","1,626","1,203",767,715,485,182,58,21,3,"13,101","13,101",273,364,330,412,493,470,457,531,593,803,980,"1,209","1,521","1,193",909,"1,043",825,437,200,49,9
강원도 양양군 (4283000000),526,783,875,946,"1,293","1,090","1,008","1,279","1,602","1,902","2,382","2,613","3,268","2,593","1,859","1,795","1,296",648,260,79,13,"14,356","14,356",270,402,466,506,750,663,555,699,856,"1,054","1,357","1,327","1,685","1,268",928,781,511,205,59,12,2,"13,754","13,754",256,381,409,440,543,427,453,580,746,848,"1,025","1,286","1,583","1,325",931,"1,014",785,443,201,67,11
충청북도  (4300000000),"49,926","69,627","73,524","73,700","95,287","101,423","88,845","103,282","113,318","124,882","139,053","130,406","138,661","98,244","64,711","55,202","43,541","24,193","7,724","1,636",316,"810,258","810,258","25,626","35,448","37,913","38,543","51,567","57,883","48,307","53,981","58,876","64,580","71,356","67,396","70,269","48,673","30,931","23,410","16,240","7,144","1,719",328,68,"787,243","787,243","24,300","34,179","35,611","35,157","43,720","43,540","40,538","49,301","54,442","60,302","67,697","63,010","68,392","49,571","33,780","31,792","27,301","17,049","6,005","1,308",248
충청북도 청주시 (4311000000),"30,572","41,862","42,796","42,240","55,774","63,878","55,472","62,659","66,225","69,861","73,287","63,647","62,350","41,409","26,469","21,152","15,618","8,814","2,834",609,114,"427,187","427,187","15,619","21,316","21,989","22,083","29,478","35,721","29,745","32,285","33,987","35,035","36,469","32,108","30,820","20,030","12,439","8,994","5,743","2,606",595,105,20,"420,455","420,455","14,953","20,546","20,807","20,157","26,296","28,157","25,727","30,374","32,238","34,826","36,818","31,539","31,530","21,379","14,030","12,158","9,875","6,208","2,239",504,94
